         221654120 function calls (221652946 primitive calls) in 455.437 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.002    0.000 _decorator.py:56(__init__)
      210    0.000    0.000    0.000    0.000 _decorator.py:62(__iter__)
        1    0.000    0.000    0.000    0.000 _decorator.py:71(FunctionMaker)
       84    0.002    0.000    0.007    0.000 _decorator.py:77(__init__)
       53    0.000    0.000    0.000    0.000 _decorator.py:95(<lambda>)
        1    0.000    0.000    0.000    0.000 _endian.py:22(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:45(BigEndianStructure)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       14    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       14    0.000    0.000    0.000    0.000 _weakrefset.py:77(add)
        5    0.000    0.000    0.001    0.000 abc.py:105(register)
      9/5    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        7    0.001    0.000    0.002    0.000 abc.py:86(__new__)
       48    0.000    0.000    0.001    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.002    0.002 adjlist.py:24(<module>)
        1    0.002    0.002    0.002    0.002 all.py:2(<module>)
        1    0.000    0.000    0.000    0.000 astar.py:3(<module>)
        1    0.003    0.003    0.008    0.008 atlas.py:11(<module>)
        1    0.000    0.000    0.000    0.000 attracting.py:4(<module>)
        1    0.000    0.000    0.000    0.000 attrmatrix.py:3(<module>)
        1    0.002    0.002    0.002    0.002 basic.py:6(<module>)
        1    0.001    0.001    0.001    0.001 betweenness.py:3(<module>)
        1    0.000    0.000    0.000    0.000 betweenness_subset.py:3(<module>)
        1    0.001    0.001    0.001    0.001 biconnected.py:4(<module>)
        1    0.000    0.000    0.000    0.000 binary.py:3(<module>)
        1    0.005    0.005    0.005    0.005 bipartite.py:5(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 block.py:7(<module>)
        1    0.000    0.000    0.000    0.000 boundary.py:10(<module>)
        1    0.000    0.000    0.000    0.000 breadth_first_search.py:7(<module>)
        1    0.026    0.026    0.046    0.046 cElementTree.py:3(<module>)
        1    0.034    0.034    0.041    0.041 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:129(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:21(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:30(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:41(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:588(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:94(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:999(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 centrality.py:7(<module>)
        1    0.000    0.000    0.000    0.000 chordal_alg.py:25(NetworkXTreewidthBoundExceeded)
        1    0.003    0.003    0.003    0.003 chordal_alg.py:8(<module>)
        1    0.002    0.002    0.002    0.002 classic.py:12(<module>)
        1    0.000    0.000    0.001    0.001 clique.py:13(<module>)
        1    0.001    0.001    0.001    0.001 closeness.py:4(<module>)
        1    0.001    0.001    0.001    0.001 cluster.py:2(<module>)
        1    0.000    0.000    0.000    0.000 cluster.py:7(<module>)
        1    0.028    0.028    0.044    0.044 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:20(_recursive_repr)
        8    0.015    0.002    0.018    0.002 collections.py:208(namedtuple)
      293    0.000    0.000    0.001    0.000 collections.py:248(<genexpr>)
       38    0.000    0.000    0.000    0.000 collections.py:265(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:326(Counter)
        1    0.000    0.000    0.000    0.000 collections.py:46(OrderedDict)
        1    0.000    0.000    0.004    0.004 communicability_alg.py:3(<module>)
        1    0.000    0.000    0.000    0.000 connected.py:4(<module>)
        1    0.001    0.001    0.001    0.001 connectivity.py:7(<module>)
        1    0.004    0.004    0.004    0.004 convert.py:33(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 core.py:12(<module>)
        1    0.001    0.001    0.002    0.002 correlation.py:3(<module>)
        1    0.000    0.000    0.000    0.000 current_flow_betweenness.py:3(<module>)
        1    0.001    0.001    0.001    0.001 current_flow_betweenness_subset.py:3(<module>)
        1    0.001    0.001    0.001    0.001 current_flow_closeness.py:4(<module>)
        1    0.001    0.001    0.002    0.002 cycles.py:6(<module>)
        1    0.016    0.016    0.078    0.078 dag.py:2(<module>)
        1    0.015    0.015    0.037    0.037 decimal.py:116(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:161(DecimalException)
        1    0.000    0.000    0.000    0.000 decimal.py:184(Clamped)
        1    0.000    0.000    0.000    0.000 decimal.py:196(InvalidOperation)
        1    0.000    0.000    0.000    0.000 decimal.py:225(ConversionSyntax)
        1    0.000    0.000    0.000    0.000 decimal.py:235(DivisionByZero)
        1    0.000    0.000    0.000    0.000 decimal.py:251(DivisionImpossible)
        1    0.000    0.000    0.000    0.000 decimal.py:262(DivisionUndefined)
        1    0.000    0.000    0.000    0.000 decimal.py:273(Inexact)
        1    0.000    0.000    0.000    0.000 decimal.py:285(InvalidContext)
        1    0.000    0.000    0.000    0.000 decimal.py:299(Rounded)
        1    0.000    0.000    0.000    0.000 decimal.py:311(Subnormal)
        1    0.000    0.000    0.000    0.000 decimal.py:322(Overflow)
        1    0.000    0.000    0.000    0.000 decimal.py:360(Underflow)
        1    0.000    0.000    0.000    0.000 decimal.py:3720(_ContextManager)
        1    0.000    0.000    0.000    0.000 decimal.py:3735(Context)
        3    0.000    0.000    0.000    0.000 decimal.py:3754(__init__)
       27    0.000    0.000    0.000    0.000 decimal.py:3781(<genexpr>)
       27    0.000    0.000    0.000    0.000 decimal.py:3788(<genexpr>)
        1    0.000    0.000    0.000    0.000 decimal.py:506(Decimal)
        6    0.000    0.000    0.000    0.000 decimal.py:515(__new__)
        1    0.000    0.000    0.000    0.000 decimal.py:5390(_WorkRep)
        1    0.000    0.000    0.000    0.000 decimal.py:5623(_Log10Memoize)
        1    0.000    0.000    0.000    0.000 decimal.py:5627(__init__)
        1    0.004    0.004    0.004    0.004 decorators.py:1(<module>)
       14    0.000    0.000    0.002    0.000 decorators.py:10(not_implemented_for)
